PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked,Email
1,0,3,"Braund, Mr. Owen Harris",male,22,1,0,A/5 21171,7.25,,S,12@gmail.com
2,1,1,"Cumings, Mrs. John Bradley (Florence Briggs Thayer)",female,38,1,0,PC 17599,71.2833,C85,C,23@gmail.com
3,1,3,"Heikkinen, Miss. Laina",female,26,0,0,STON/O2. 3101282,7.925,,S,34@gmail.com
4,1,1," "" Ali""",female,35,1,0,113803,53.1,C123,S,abc@gmail.com
5,0,3,,male,35,0,0,373450,8.05,,S,56@gmail.com
6,0,3,"Moran, Mr. James",male,,0,0,330877,8.4583,,Q,67@gmail.com
7,0,1,"McCarthy, Mr. Timothy J",male,54,0,0,17463,51.8625,E46,S,78@gmail.com
8,0,3,"Palsson, Master. Gosta Leonard",male,2,3,1,349909,21.075,,S,89@gmail.com
9,1,3,"""John """,female,27,0,2,347742,11.1333,,S,test@gmail.com
10,1,2,"Nasser, Mrs. Nicholas (Adele Achem)",female,14,1,0,A/5 21171,30.0708,,C,1011@gmail.com
11,1,3,"Sandstrom, Miss. Marguerite Rut",female,4,1,1,PP 9549,16.7,G6,S,1112@gmail.com
12,1,1,"Bonnell, Miss. Elizabeth",,58,0,0,113783,26.55,C103,S,1213@gmail.com
13,0,3,"Saundercock, Mr. William Henry",male,20,0,0,A/5. 2151,8.05,,S,1314@gmail.com
14,0,3," ""  Sara  """,male,39,1,5,347082,31.275,,S,1415@gmail.com
15,0,3,"Vestrom, Miss. Hulda Amanda Adolfina",female,14,0,0,350406,7.8542,,S,1516@gmail.com
6,0,3,"Moran, Mr. James",male,,0,0,330877,8.4583,,Q,67@gmail.com
17,0,3,"Rice, Master. Eugeneeeeeee",male,2,4,1,382652,29.125,,Q,1718@gmail.com
18,1,2,"Williams, Mr. Charles Eugene",male,,0,0,244373,13,,S,1819@gmail.com
19,0,3,"Vander Planke, Mrs. Julius (Emelia Maria Vandemoortele)",female,31,1,0,345763,18,,S,ahmad@gmail.com
20,1,3,"Masselmani, Mrs. Fatim  a",,,0,0,2649,7.225,,C,2021@gmail.com
21,0,2,"Fynney, Mr. Joseph J",male,35,0,0,239865,26,,S,2122@gmail.com
22,1,2,"Beesley, Mr. Lawrence",male,34,0,0,248698,13,D56,S,2223@gmail.com
23,1,3,"McGowan, Miss. Anna ""Annie""",female,15,0,0,330923,8.0292,,Q,2324@gmail.com
24,1,1,"Sloper, Mr. William Thompson",male,28,0,0,113788,35.5,A6,S,sara.khan@gmail.com
25,0,3,"Palsson, Miss. Torborg Danira",female,8,3,1,349909,21.075,,S,2526@gmail.com
26,1,3,"Asplund, Mrs. Carl Oscar (Selma Augusta Emilia Johansson)",female,38,1,5,347077,31.3875,,S,2627@gmail.com
27,0,3,"Emir, Mr. Farred Chehab",male,,0,0,2631,7.225,,C,2728@gmail.com
28,0,1,"Fortune, Mr. Charles Alexander",male,19,3,2,19950,263,C23 C25 C27,S,2829@gmail.com
20,1,3,"Masselmani, Mrs. Fatima",female,,0,0,2649,7.225,,C,2021@gmail.com
30,0,3,,male,,0,0,349216,7.8958,,S,3031@gmail.com
31,0,1,"Uruchurtu, Don. Manuel E",male,40,0,0,PC 17601,27.7208,,C,3132@gmail.com
32,1,1,"Spencer, Mrs. William Augustus (Marie Eugenie)",female,,1,0,PC 17569,146.5208,B78,C,3233@gmail.com
33,1,3,"Glynn, Miss. Mary Agatha",female,,0,0,335677,7.75,,Q,3334@gmail.com
34,0,2,"Wheadon, Mr. Edward H",male,66,0,0,C.A. 24579,10.5,,S,3435@gmail.com
35,0,1,"Meyer, Mr. Edgar Joseph",male,28,1,0,PC 17604,82.1708,,C,3536@gmail.com
36,0,1,"Holverson, Mr. Alexander Oskar",male,42,1,0,113789,52,,S,3637@gmail.com
37,1,3,"Mamee, Mr. Hanna",male,,0,0,2677,7.2292,,C,3738@gmail.com
34,0,2,"Wheadon, Mr. Edward H",male,66,0,0,C.A. 24579,10.5,,S,3435@gmail.com
39,0,3,"Vander Planke, Miss. Augusta Maria",female,18,2,0,345764,18,,S,3940@gmail.com
40,1,3,"Nicola-Yarred, Miss. Jamila",,14,1,0,2651,11.2417,,C,4041@gmail.com
41,0,3,"Ahlin, Mrs. Johan (Johanna Persdotter Larsson)",female,40,1,0,7546,9.475,,S,4142@gmail.com
42,0,2,"Turpin, Mrs. William John Robert (Dorothy Ann Wonnacott)",female,27,1,0,11668,21,,S,4243@gmail.com
43,0,3,"Kraeff, Mr. Theodor",male,,0,0,349253,7.8958,,C,4344@gmail.com
44,1,2,"Laroche, Miss. Simonne Marie Anne Andree",female,3,1,2,SC/Paris 2123,41.5792,,C,4445@gmail.com
45,1,3,"Devaney, Miss. Margaret Delia",female,19,0,0,330958,7.8792,,Q,4546@gmail.com
46,0,3,"Rogers, Mr. William John",male,,0,0,S.C./A.4. 23567,8.05,,S,4647@gmail.com
47,0,3,"Lennon, Mr. Denis",male,,1,0,370371,15.5,,Q,4748@gmail.com
48,1,3,"O'Driscoll, Miss. Bridget",female,,0,0,14311,7.75,,Q,4849@gmail.com
49,0,3,"Samaan, Mr. Youssef",male,,2,0,2662,21.6792,,C,4950@gmail.com
50,0,3,"Arnold-Franchi, Mrs. Josef (Josefine Franchi)",female,18,1,0,349237,17.8,,S,5051@gmail.com
51,0,3,"Panula, Master. Juha Niilo",male,7,4,1,3101295,39.6875,,S,5152@gmail.com
52,0,3,"Nosworthy, Mr. Richard Cater",male,21,0,0,A/4. 39886,7.8,,S,5253@gmail.com
53,1,1,"Harper, Mrs. Henry Sleeper (Myna Haxtun)",female,49,1,0,PC 17572,76.7292,D33,C,5354@gmail.com
54,1,2,"Faunthorpe, Mrs. Lizzie (Elizabeth Anne Wilkinson)",female,29,1,0,2926,26,,S,5455@gmail.com
55,0,1,"Ostby, Mr. Engelhart Cornelius",male,65,0,1,113509,61.9792,B30,C,5556@gmail.com
56,1,1,"Woolner, Mr. Hugh",,,0,0,19947,35.5,C52,S,5657@gmail.com
57,1,2,"Rugg, Miss. Emily",female,21,0,0,C.A. 31026,10.5,,S,5758@gmail.com
58,0,3,"Novel, Mr. Mansouer",male,28.5,0,0,2697,7.2292,,C,5859@gmail.com
59,1,2,"West, Miss. Constance Mirium",female,5,1,2,C.A. 34651,27.75,,S,5960@gmail.com
60,0,3,"Goodwin, Master. William Frederick",male,11,5,2,CA 2144,46.9,,S,6061@gmail.com
61,0,3,"Sirayanian, Mr. Orsen",male,22,0,0,2669,7.2292,,C,6162@gmail.com
62,1,1,"Icard, Miss. Amelie",female,38,0,0,113572,80,B28,,6263@gmail.com
63,0,1,"Harris, Mr. Henry Birkhardt",male,45,1,0,36973,83.475,C83,S,6364@gmail.com
64,0,3,"Skoog, Master. Harald",male,4,3,2,347088,27.9,,S,6465@gmail.com
65,0,1,"Stewart, Mr. Albert A",male,,0,0,PC 17605,27.7208,,C,6566@gmail.com
66,1,3,"Moubarek, Master. Gerios",male,,1,1,2661,15.2458,,C,6667@gmail.com
67,1,2,"Nye, Mrs. (Elizabeth Ramell)",female,29,0,0,C.A. 29395,10.5,F33,S,6768@gmail.com
